subject,trialtype,duration,repduration,movdist,force,stoplatency,error,abserror
1,audiomotor,3567,3113,0.43224,1.4141,63,-454,454
1,audiomotor,1150,1209,0.12593,0.38509,146,59,59
1,audiomotor,1756,1390,0.26175,1.059,252,-366,366
1,audiomotor,1678,1366,0.18921,1.1005,175,-312,312
1,audiomotor,2201,1634,0.37893,1.3709,197,-567,567
1,audiomotor,3783,2954,0.67893,2.6447,280,-829,829
1,audiomotor,4215,3158,0.73551,2.5679,211,-1057,1057
1,audiomotor,2606,2444,0.44204,1.8367,103,-162,162
1,audiomotor,3152,2545,0.60359,3.0644,148,-607,607
1,audiomotor,4206,3325,0.72456,3.3818,202,-881,881
1,audiomotor,1226,1409,0.14671,0.84742,221,183,183
1,audiomotor,2256,2053,0.40336,1.6494,253,-203,203
1,audiomotor,2660,2519,0.44866,2.3084,156,-141,141
1,motor,4078,3136,0.58566,2.1878,73,-942,942
1,motor,1295,1746,0.19101,0.8556,291,451,451
1,motor,3061,3252,0.41826,1.8812,57,191,191
1,motor,3576,3124,0.59697,2.3682,72,-452,452
1,motor,1164,1243,0.13678,0.64893,161,79,79
1,motor,1604,1548,0.22852,0.95894,101,-56,56
1,motor,2107,2620,0.3029,1.4651,103,513,513
1,motor,2693,2450,0.40441,1.8551,189,-243,243
1,motor,2562,2255,0.45644,8.2561,57,-307,307
1,motor,3110,2703,0.32172,1.3619,107,-407,407
1,motor,3625,3030,0.38526,1.2306,122,-595,595
1,motor,4038,4036,0.51161,1.6235,35,-2,2
1,motor,1592,1250,0.16103,0.81396,88,-342,342
1,motor,2244,1946,0.28401,0.99503,241,-298,298
1,auditory,2000,2098,0.00087876,2.0084,0,98,98
1,auditory,2500,2845,0.002614,3.1088,0,345,345
1,auditory,1500,1322,0.00052126,2.2084,0,-178,178
1,auditory,2000,2192,0.0011523,1.4175,0,192,192
1,auditory,4000,2707,0.0019812,3.5048,0,-1293,1293
1,auditory,1000,1445,0.00053996,0.84579,0,445,445
1,auditory,2500,2832,0.00087915,1.7969,0,332,332
1,auditory,3000,3534,0.00151,7.5139,0,534,534
1,auditory,1000,1655,0.00042658,1.2358,0,655,655
1,auditory,1500,1424,0.00079683,0.39079,0,-76,76
1,auditory,3000,2855,0.0010982,4.3452,0,-145,145
1,auditory,3500,3608,0.001288,3.5029,0,108,108
1,auditory,3500,3742,0.0021738,2.5343,0,242,242
1,auditory,4000,3822,0.0034078,3.586,0,-178,178
1,motor,4175,3671,0.5354,2.1737,170,-504,504
1,motor,1087,1991,0.11433,0.44884,83,904,904
1,motor,3568,3827,0.50322,1.9055,65,259,259
1,motor,4074,3468,0.87015,14.513,70,-606,606
1,motor,1664,1772,0.17737,0.51635,161,108,108
1,motor,2170,2507,0.31561,0.95703,166,337,337
1,motor,1132,2144,0.083565,0.34153,128,1012,1012
1,motor,1619,2318,0.19646,0.63044,116,699,699
1,motor,2066,2183,0.26303,0.6465,63,117,117
1,motor,2553,3105,0.35637,1.3949,50,552,552
1,motor,3620,3481,0.45745,1.3272,116,-139,139
1,motor,2556,3044,0.35018,1.2675,53,488,488
1,auditory,2500,2625,0.0017936,3.6341,0,125,125
1,auditory,3000,2732,0.0013227,4.6849,0,-268,268
1,auditory,3000,3204,0.001174,5.458,0,204,204
1,auditory,3500,3296,0.0014416,4.4521,0,-204,204
1,auditory,2000,2346,0.0010988,1.1455,0,346,346
1,auditory,2500,2909,0.0011463,3.3096,0,409,409
1,auditory,4000,3709,0.001642,7.1536,0,-291,291
1,auditory,1000,1186,0.00033435,0.81176,0,186,186
1,auditory,1000,1132,0.00075705,1.8789,0,132,132
1,auditory,1500,1722,0.00072622,2.5295,0,222,222
1,auditory,1500,1848,0.0012204,4.7348,0,348,348
1,auditory,2000,2330,0.0010539,2.3827,0,330,330
1,auditory,3500,3044,0.0027206,9.1349,0,-456,456
1,auditory,4000,3440,0.0024786,5.2071,0,-560,560
1,audiomotor,2170,2660,0.31242,1.4025,167,490,490
1,audiomotor,2590,2832,0.33849,1.0793,85,242,242
1,audiomotor,1209,1905,0.18901,0.41004,205,696,696
1,audiomotor,1669,1900,0.28298,0.95868,164,231,231
1,audiomotor,1594,1843,0.23243,0.73006,91,249,249
1,audiomotor,2075,2593,0.30223,1.323,71,518,518
1,audiomotor,3059,2877,0.47534,1.8389,56,-182,182
